labels,text
neg,Maybe I found the proceedings a little bit too conventional .
neg,"As with too many studio pics , plot mechanics get in the way of what should be the lighter-than-air adventure ."
pos,"Cute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enough for everyone ."
neg,So what is the point ?
pos,"While this film is not in the least surprising , it is still ultimately very satisfying ."
neg,"I found it slow , drab , and bordering on melodramatic ."
pos,"Awkward but sincere and , ultimately , it wins you over ."
neg,The movie makes absolutely no sense .
neg,"But as a movie , it 's a humorless , disjointed mess ."
pos,"I complain all the time about seeing the same ideas repeated in films over and over again , but The Bourne Identity proves that a fresh take is always possible ."
neg,"There 's an audience for it , but it could have been funnier and more innocent ."
neg,Could The Country Bears really be as bad as its trailers ?
pos,"Renner 's performance as Dahmer is unforgettable , deeply absorbing ."
neg,"It 's the kind of movie that ends up festooning U.S. art house screens for no reason other than the fact that it 's in French ( well , mostly ) with English subtitles and is magically ` significant ' because of that ."
pos,"An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays ."
pos,"In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema ."
neg,This goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring
pos,"Celebrated at Sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat ."
pos,It 's solid and affecting and exactly as thought-provoking as it should be .
pos,It 's a refreshing change from the self-interest and paranoia that shape most American representations of Castro .
neg,"Though Ganesh is successful in a midlevel sort of way , there 's nothing so striking or fascinating or metaphorically significant about his career as to rate two hours of our attention ."
neg,"Uncertain in tone ... a garbled exercise in sexual politics , a junior varsity Short Cuts by way of Very Bad Things ."
neg,About as satisfying and predictable as the fare at your local drive through .
neg,Marries the amateurishness of The Blair Witch Project with the illogic of Series 7 : The Contenders to create a completely crass and forgettable movie .
neg,There 's nothing provocative about this film save for the ways in which it studiously avoids provoking thought .
neg,"Matthew McConaughey tries , and fails , to control the screen with swaggering machismo and over-the-top lunacy ."
neg,"The film would work much better as a video installation in a museum , where viewers would be free to leave ."
neg,A frustrating combination of strained humor and heavy-handed sentimentality .
neg,This is junk food cinema at its greasiest .
pos,"Foster nails the role , giving a tight , focused performance illuminated by shards of feeling ."
pos,"Zhang Yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones ."
neg,"It is a comedy that 's not very funny and an action movie that is not very thrilling ( and an uneasy alliance , at that ) ."
pos,"For the first two-thirds of this sparklingly inventive and artful , always fast and furious tale , kids will go happily along for the ride ."
neg,Neither funny nor suspenseful nor particularly well-drawn .
pos,"Too bad , but thanks to some lovely comedic moments and several fine performances , it 's not a total loss ."
neg,No. .
neg,All the necessary exposition prevents the picture from rising above your generic sand 'n' sandal adventure .
neg,"Rambles on in a disjointed , substandard fashion from one poorly executed action sequence to the next ."
pos,A wonderful character-based comedy .
neg,"It 's so underwritten that you ca n't figure out just where the other characters , including Ana 's father and grandfather , come down on the issue of Ana 's future ."
pos,"There are slow and repetitive parts , but it has just enough spice to keep it interesting ."
neg,This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .
neg,... Hudlin is stuck trying to light a fire with soggy leaves .
neg,Feels like six different movies fighting each other for attention .
neg,There 's plenty of style in Guillermo Del Toro 's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply ca n't sustain more than 90 minutes .
pos,The tenderness of the piece is still intact .
pos,An enjoyably half-wit remake of the venerable Italian comedy Big Deal on Madonna Street .
neg,The movie bounces all over the map .
pos,What makes the movie a comedy is the way it avoids the more serious emotions involved .
